id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_pemeriksaan_fisik_master_base,pemeriksaan_fisik_master.base,model_pemeriksaan_fisik_master,base.group_user,1,0,0,0
access_pemeriksaan_fisik_master_user,pemeriksaan_fisik_master.user,model_pemeriksaan_fisik_master,asb_klinik_doctor_team.group_unit_doctor_user,1,1,1,1
access_pemeriksaan_fisik_master_manager,pemeriksaan_fisik_master.manager,model_pemeriksaan_fisik_master,asb_klinik_doctor_team.group_unit_doctor_manager,1,1,1,1

access_kulit_skin_base,kulit_skin.base,model_kulit_skin,base.group_user,1,0,0,0
access_kulit_skin_user,kulit_skin.user,model_kulit_skin,asb_klinik_doctor_team.group_unit_doctor_user,1,1,1,1
access_kulit_skin_manager,kulit_skin.manager,model_kulit_skin,asb_klinik_doctor_team.group_unit_doctor_manager,1,1,1,1

access_mata_eye_base,mata_eye.base,model_mata_eye,base.group_user,1,0,0,0
access_mata_eye_user,mata_eye.user,model_mata_eye,asb_klinik_doctor_team.group_unit_doctor_user,1,1,1,1
access_mata_eye_manager,mata_eye.manager,model_mata_eye,asb_klinik_doctor_team.group_unit_doctor_manager,1,1,1,1

access_tht_ent_base,tht_ent.base,model_tht_ent,base.group_user,1,0,0,0
access_tht_ent_user,tht_ent.user,model_tht_ent,asb_klinik_doctor_team.group_unit_doctor_user,1,1,1,1
access_tht_ent_manager,tht_ent.manager,model_tht_ent,asb_klinik_doctor_team.group_unit_doctor_manager,1,1,1,1

access_mulut_mouth_base,mulut_mouth.base,model_mulut_mouth,base.group_user,1,0,0,0
access_mulut_mouth_user,mulut_mouth.user,model_mulut_mouth,asb_klinik_doctor_team.group_unit_doctor_user,1,1,1,1
access_mulut_mouth_manager,mulut_mouth.manager,model_mulut_mouth,asb_klinik_doctor_team.group_unit_doctor_manager,1,1,1,1

access_leher_neck_base,leher_neck.base,model_leher_neck,base.group_user,1,0,0,0
access_leher_neck_user,leher_neck.user,model_leher_neck,asb_klinik_doctor_team.group_unit_doctor_user,1,1,1,1
access_leher_neck_manager,leher_neck.manager,model_leher_neck,asb_klinik_doctor_team.group_unit_doctor_manager,1,1,1,1

access_dada_chest_base,dada_chest.base,model_dada_chest,base.group_user,1,0,0,0
access_dada_chest_user,dada_chest.user,model_dada_chest,asb_klinik_doctor_team.group_unit_doctor_user,1,1,1,1
access_dada_chest_manager,dada_chest.manager,model_dada_chest,asb_klinik_doctor_team.group_unit_doctor_manager,1,1,1,1

access_extrimitas_extrimities_base,extrimitas_extrimities.base,model_extrimitas_extrimities,base.group_user,1,0,0,0
access_extrimitas_extrimities_user,extrimitas_extrimities.user,model_extrimitas_extrimities,asb_klinik_doctor_team.group_unit_doctor_user,1,1,1,1
access_extrimitas_extrimities_manager,extrimitas_extrimities.manager,model_extrimitas_extrimities,asb_klinik_doctor_team.group_unit_doctor_manager,1,1,1,1

access_muskuloskletal_examination_base,muskuloskletal_examination.base,model_muskuloskletal_examination,base.group_user,1,0,0,0
access_muskuloskletal_examination_user,muskuloskletal_examination.user,model_muskuloskletal_examination,asb_klinik_doctor_team.group_unit_doctor_user,1,1,1,1
access_muskuloskletal_examination_manager,muskuloskletal_examination.manager,model_muskuloskletal_examination,asb_klinik_doctor_team.group_unit_doctor_manager,1,1,1,1

access_sensorik_examination_base,sensorik_examination.base,model_sensorik_examination,base.group_user,1,0,0,0
access_sensorik_examination_user,sensorik_examination.user,model_sensorik_examination,asb_klinik_doctor_team.group_unit_doctor_user,1,1,1,1
access_sensorik_examination_manager,sensorik_examination.manager,model_sensorik_examination,asb_klinik_doctor_team.group_unit_doctor_manager,1,1,1,1

access_motorik_examination_base,motorik_examination.base,model_motorik_examination,base.group_user,1,0,0,0
access_motorik_examination_user,motorik_examination.user,model_motorik_examination,asb_klinik_doctor_team.group_unit_doctor_user,1,1,1,1
access_motorik_examination_manager,motorik_examination.manager,model_motorik_examination,asb_klinik_doctor_team.group_unit_doctor_manager,1,1,1,1

access_reflek_examination_base,reflek_examination.base,model_reflek_examination,base.group_user,1,0,0,0
access_reflek_examination_user,reflek_examination.user,model_reflek_examination,asb_klinik_doctor_team.group_unit_doctor_user,1,1,1,1
access_reflek_examination_manager,reflek_examination.manager,model_reflek_examination,asb_klinik_doctor_team.group_unit_doctor_manager,1,1,1,1

access_limfatik_sistem_base,limfatik_sistem.base,model_limfatik_sistem,base.group_user,1,0,0,0
access_limfatik_sistem_user,limfatik_sistem.user,model_limfatik_sistem,asb_klinik_doctor_team.group_unit_doctor_user,1,1,1,1
access_limfatik_sistem_manager,limfatik_sistem.manager,model_limfatik_sistem,asb_klinik_doctor_team.group_unit_doctor_manager,1,1,1,1
